compania,movieId
hulu,s2837
amazon,s2423
amazon,s7497
hulu,s2540
amazon,s2282
netflix,s5343
netflix,s2227
netflix,s1932
amazon,s2260
amazon,s185
amazon,s7583
amazon,s2336
hulu,s269
netflix,s7317
netflix,s6545
amazon,s1596
hulu,s1531
netflix,s5062
amazon,s7054
amazon,s1285
netflix,s5387
amazon,s8604
netflix,s8666
netflix,s6893
netflix,s1613
netflix,s4723
netflix,s7035
netflix,s6472
amazon,s8657
netflix,s7178
amazon,s8350
netflix,s7426
hulu,s1725
amazon,s6636
netflix,s3419
amazon,s8103
netflix,s4548
amazon,s6412
amazon,s1018
netflix,s3257
amazon,s7505
amazon,s6616
amazon,s5635
amazon,s9286
netflix,s5509
netflix,s7196
amazon,s4906
amazon,s8647
amazon,s359
amazon,s8120
hulu,s2610
netflix,s6652
hulu,s1668
amazon,s2281
netflix,s44
netflix,s5488
amazon,s4521
amazon,s7710
netflix,s3767
amazon,s455
netflix,s297
netflix,s1596
amazon,s3942
netflix,s654
amazon,s9233
netflix,s5072
netflix,s1197
amazon,s6046
hulu,s1523
disney,s492
amazon,s7160
disney,s120
disney,s1206
netflix,s5840
hulu,s345
amazon,s4109
amazon,s3133
disney,s771
amazon,s2942
hulu,s979
hulu,s2856
amazon,s8293
amazon,s8287
amazon,s3987
amazon,s2954
amazon,s2955
netflix,s348
netflix,s1741
netflix,s8043
hulu,s1852
netflix,s8801
netflix,s3480
netflix,s8661
amazon,s1517
netflix,s2060
amazon,s6240
netflix,s4269
amazon,s9654
disney,s451
netflix,s5625
amazon,s2389
amazon,s6553
amazon,s4306
amazon,s9036
amazon,s767
amazon,s728
amazon,s8219
amazon,s8680
netflix,s6315
amazon,s5838
amazon,s9195
amazon,s3702
hulu,s1351
netflix,s885
amazon,s8439
netflix,s233
hulu,s586
hulu,s2878
amazon,s9426
hulu,s80
netflix,s5894
amazon,s8834
amazon,s9310
netflix,s7292
netflix,s8253
netflix,s1625
amazon,s9513
hulu,s3037
netflix,s3226
amazon,s9184
netflix,s4561
amazon,s5171
amazon,s3649
amazon,s8944
netflix,s6750
netflix,s2171
amazon,s2011
netflix,s2961
amazon,s7774
amazon,s5040
hulu,s2844
hulu,s1860
netflix,s3018
hulu,s2057
amazon,s7538
netflix,s6184
amazon,s5832
hulu,s1908
amazon,s354
amazon,s5350
netflix,s5381
disney,s137
amazon,s4968
amazon,s8868
netflix,s2589
netflix,s7084
amazon,s2088
netflix,s5597
netflix,s8429
amazon,s866
amazon,s1304
amazon,s7663
amazon,s810
netflix,s848
netflix,s5493
netflix,s4662
hulu,s441
netflix,s6477
amazon,s6719
amazon,s62
amazon,s7620
amazon,s8651
